,title,sector,website,phoneNumber,address
6294,Papa Murphy's | Take 'N' Bake Pizza,Pizza restaurant,locations.papamurphys.com,(503) 636-1785,"15630 Boones Ferry Rd, Lake Oswego, OR 97035"
6295,Vesta Corporation,E-commerce service,trustvesta.com,(503) 790-2500,"5400 Meadows Rd 5th floor, Lake Oswego, OR 97035"
6296,Nova Business Systems Inc,Computer security service,novabusinesssystems.com,(503) 636-8414,"Lake Oswego, OR 97034"
6297,"Soldera Properties, Inc",Real estate agents,solderaproperties.com,(503) 334-1515,"4260 Galewood St, Lake Oswego, OR 97035"
6298,Subert Commercial Real Estate,Commercial real estate agency,subertcommercial.com,(503) 446-2437,"4800 Meadows Rd #300, Lake Oswego, OR 97035"
6299,Megasonics Corporation,Store,megasonics.com,(503) 697-0828,"3 Monroe Pkwy # P, Lake Oswego, OR 97035"
6300,Verilytics,Telecommunications service provider,mobilityhelpdesk.com,(503) 445-4375,"5755 Jean Rd #200, Lake Oswego, OR 97035"
6301,B & R Machine Inc,Machine shop,brmachinepdx.com,(503) 635-6403,"17252 Pilkington Rd ste b, Lake Oswego, OR 97035"
6302,The Difference,Women's clothing store,thedifferencepdx.com,(503) 636-4261,"17750 Lower Boones Ferry Rd, Lake Oswego, OR 97035"
6303,Thruway Inc.,Distribution service,thruwayinc.com,(800) 905-9411,"2910 Niagara Falls Blvd, North Tonawanda, NY 14120"
6304,Swag Northwest - Lake Oswego,Screen printer,swagnw.com,(503) 639-5355,"7 Mt Jefferson Terrace, Lake Oswego, OR 97035"
6305,"Breault Industrial Group, Inc",Construction material wholesaler,breaultindustrial.com,(503) 924-4801,"5400 Meadows Rd, Lake Oswego, OR 97035"
6306,Clear Financial Partners,Financial consultant,clearfp.com,(503) 579-1000,"15573 Bangy Rd Suite 100, Lake Oswego, OR 97035"
6307,HER Roofing,Roofing contractor,herroofing.com,(503) 946-9068,
6308,"Tri-Lee Homes, Inc.",Home builder,tri-leehomes.com,(503) 702-3955,"Lake Oswego, OR 97035"
6309,"Lockwood Products, Inc.",Hose supplier,loc-line.com,(503) 635-8113,"5615 Willow Ln, Lake Oswego, OR 97035"
6310,"ACOM Consulting, INC",Telecommunications service provider,acomconsultinginc.com,(503) 708-5382,"5200 Meadows Rd #150, Lake Oswego, OR 97035"
6311,Oak Tree Insurance Inc,Insurance agency,oaktreeins.com,(503) 635-3303,"5335 Meadows Rd # 101, Lake Oswego, OR 97035"
6312,McKenzie Worldwide,Public relations firm,mckenzieworldwide.com,(503) 625-3680,"4800 Meadows Rd #300, Lake Oswego, OR 97035"
6313,It's A Matter Of Taste,Restaurant,matteroftaste.net,(248) 360-6650,"2323 Union Lake Rd, Commerce Charter Twp, MI 48382"
6314,"Kruse Woods Financial Partners, LLC",Financial consultant,krusewoodsfp.com,(503) 828-3350,"5885 Meadows Rd #800, Lake Oswego, OR 97035"
6315,Kim Dittler at Berkshire Hathaway HomeServices NW Real Estate,Real estate agency,gellatlyproperties.com,(503) 380-8285,"3 Centerpointe Dr, Lake Oswego, OR 97035"
6316,Lake Oswego,Mortgage lender,pacresmortgage.com,(503) 699-5626,"4949 Meadows Rd Suite 150, Lake Oswego, OR 97035"
6317,Pinemeadow Golf,Golf shop,pinemeadowgolf.com,(800) 309-6878,"6710 SW McEwan Rd, Lake Oswego, OR 97035"
6318,"Northwest Tax Services, Inc.",Tax preparation,nwtaxservices.com,(503) 726-5954,"5200 SW Meadows Rd #150, Lake Oswego, OR 97035"
6319,Mascola's Salon,Beauty salon,mascolassalon.com,(503) 620-0631,"15154 Bangy Rd, Lake Oswego, OR 97035"
6320,Strategic Transport INC,Shipping service,shipsti.com,(503) 564-7021,"7110 Southwest Fir Loop, 110 #110, Tigard, OR 97223"
6321,"Soldera Properties, Inc",Real estate agents,solderaproperties.com,(503) 334-1515,"4260 Galewood St, Lake Oswego, OR 97035"
6322,"B. McClurg Enterprises, Inc.",Remodeler,bmeremodeling.com,(503) 704-2206,
6323,DICK'S Sporting Goods,Sporting goods store,stores.dickssportinggoods.com,(503) 635-3800,"17799 Lower Boones Ferry Rd, Lake Oswego, OR 97035"
6324,"Building Champions, Inc.",Coaching center,buildingchampions.com,(503) 670-1013,"5285 Meadows Rd Suite 430, Lake Oswego, OR 97035"
6325,Thai Basil,Thai restaurant,thaibasilcuisine.com,(503) 601-8424,"6328 Meadows Rd, Lake Oswego, OR 97035"
6326,"BTSI | Business Transition Services, Inc.",Business development service,btsi.com,(503) 697-8312,"4000 Kruse Way Pl #2, Lake Oswego, OR 97035"
6327,Columbia Factory Store,Outdoor clothing and equipment shop,stores.columbia.com,(503) 636-6593,"3 Monroe Pkwy Ste H, Lake Oswego, OR 97035"
6328,World Champion Taekwondo,Martial arts school,lakeoswegotkd.com,(503) 534-3029,"3 Monroe Pkwy K, Lake Oswego, OR 97035"
6329,Acme Construction Supply Headquarters,Corporate office,acmetool.com,(503) 872-9805,"4040 SW Douglas Way, Lake Oswego, OR 97035"
6330,"Carr Butterfield, LLP",Attorney,carrbutterfield.com,(503) 635-5244,"5285 Meadows Rd #199, Lake Oswego, OR 97035"
6331,Oswego Trading Company,Consignment shop,oswegotradingco.com,(503) 636-1506,"17475 Pilkington Rd, Lake Oswego, OR 97035"
6332,Computer Stores Northwest Inc,,csnw.com,(503) 624-2014,"6077 Lakeview Blvd # A, Lake Oswego, OR 97035"
6333,Michael Jenkins Agency Inc American Family Insurance,Insurance agency,agent.amfam.com,(503) 699-2575,"15630 Boones Ferry Rd, Lake Oswego, OR 97035"
6334,Acumen Executive Search,Employment agency,acumenexecutivesearch.com,(503) 430-0294,"6860 SW Atlanta St, Tigard, OR 97223"
6335,"Reliance Property Management, Inc.",Property management company,reliancepminc.com,(503) 244-1359,"9 Monroe Pkwy #140, Lake Oswego, OR 97035"
6336,Point Monitor,Fire alarm supplier,pointmonitor.com,(503) 627-0100,"5863 Lakeview Blvd, Lake Oswego, OR 97035"
6337,"Northwest Surgical Specialists, LLP",Surgeon,nwsurgicalspecialists.com,(541) 868-9303,"3355 Riverbend Dr Ste. 300, Springfield, OR 97477"
6338,Metke Remodeling & Luxury Homes,Remodeler,metkeremodeling.com,(503) 534-0985,"17428 SW Ferry Rd, Lake Oswego, OR 97035"
6339,"Columbia Benefit Solutions, Inc.",Insurance company,columbiabenefitsolutions.com,(503) 636-2676,"16325 Boones Ferry Rd, Lake Oswego, OR 97035"
6340,Oregon Healthcare Workforce Institute,Health consultant,oregonhwi.org,(503) 610-0746,"Building 2, 4000 Kruse Way Pl #100, Lake Oswego, OR 97035"
6341,TRANSLAT Inc,Translator,trans-lat.com,(971) 249-2520,"300 Cervantes, Lake Oswego, OR 97035"
6342,"All In One Maintenance & Cleaning, LLC",Janitorial service,allinonemainclean.com,(503) 236-6434,
6343,Maloney's Custom Ocular,Orthotics & prosthetics service,maloneysocular.com,(503) 675-1320,"4500 Kruse Way #300, Lake Oswego, OR 97035"
6344,Charles Maloney Building Co,General contractor,charlesmaloneybuildingco.com,(503) 970-5989,"15800 SW Ferry Rd, Lake Oswego, OR 97035"
6345,Swanson Financial,Financial planner,swansonfinancial.com,(503) 603-9900,"4309 Oakridge Rd, Lake Oswego, OR 97035"
6346,Village Montessori,Preschool,villagemontessorichildrenshouse.com,(503) 675-8565,"4320 SW Douglas Way, Lake Oswego, OR 97035"
6347,Kent Family Home Buyers,Real estate agency,kentfamilyhomebuyers.com,(503) 822-0248,"4130 SW 117th Ave, Beaverton, OR 97005"
6348,Affinity Group Inc,Property management company,affinitygrouporegon.com,(503) 412-2404,"4800 Meadows Rd, Lake Oswego, OR 97035"
6349,United Sales Associates,Engineering consultant,unitedsalesassoc.com,(503) 620-6960,"17685 SW 65th Ave # 500, Lake Oswego, OR 97035"
6350,"Dr. David Palacios, N.D.",Naturopathic practitioner,drdavidpdx.com,(503) 765-8915,
6351,RoHillCo Business Services,Financial planner,rohillco.com,(503) 636-0495,"5 Mt Jefferson Terrace, Lake Oswego, OR 97035"
6352,Pacific Networks,Telecommunications contractor,pacnetworks.com,(503) 645-4000,"16869 SW 65th Ave #373, Lake Oswego, OR 97035"
6353,Lake Grove Family Medical Clinic,Medical clinic,lakegrovefamilymedical.com,(503) 635-1350,"16463 Boones Ferry Rd #100, Lake Oswego, OR 97035"
6354,Tri-R Sales & Supply Inc,,trirsales.com,(503) 655-5734,"15842 SE 114th Ave, Clackamas, OR 97015"
6355,Century West Engineering Corporation,Engineering consultant,centurywest.com,(503) 419-2130,"5500 Meadows Rd Suite 250, Lake Oswego, OR 97035"
6356,Fishtail Design Automation,Software company,fishtail-da.com,(503) 598-2210,"5285 Meadows Rd #275, Lake Oswego, OR 97035"
6357,Delar,Dental supply store,delar.com,(503) 635-6820,"335 Monroe St, Mt Angel, OR 97362"
6358,"Muscles In Motion, INC",Gym,mymusclesinmotion.com,(503) 699-6948,"17437 SW Ferry Rd #300, Lake Oswego, OR 97035"
6359,Skin. By Beth Ann Warren,Skin care clinic,bethannwarren.com,(971) 258-1955,"Althea Wellness Center, 14535 Westlake Dr suite b, Lake Oswego, OR 97035"
6360,Murphy Business Sales - Pacific Northwest,Business broker,murphybusiness.com,(503) 675-6272,"4000 Kruse Way Pl Suite 2-245, Lake Oswego, OR 97035"
6361,Stone Bridge Homes NW,Home builder,stonebridgehomesnw.com,(503) 746-6215,"4230 Galewood St, Lake Oswego, OR 97035"
6362,Grand Interiors Inc,General contractor,grand-interiors-inc.com,(971) 340-9471,
6363,MCM Construction Inc,General contractor,mcmbuild.com,(503) 699-9600,"5621 Willow Ln, Lake Oswego, OR 97035"
6364,UBS Financial Services Inc.,Financial consultant,ubs.com,(503) 620-4208,"5285 Meadows Rd #495, Lake Oswego, OR 97035"
6365,"Steve Thoele/Executive Home Team, Premiere Property Group, LLC",Real estate agency,findportlandoregonhomes.com,(503) 680-2065,"5000 Meadows Rd #150, Lake Oswego, OR 97035"
6366,West Coast Self-Storage Lake Oswego,Self-storage facility,westcoastselfstorage.com,(503) 636-5050,"5650 Rosewood St, Lake Oswego, OR 97035"
6367,Maywood Homes Inc.,Home builder,maywoodhomebuilders.com,(503) 534-1370,
6368,"AptNets, Inc.",Real estate agency,aptnets.com,(503) 706-6418,"4500 Kruse Way, Lake Oswego, OR 97035"
6369,"Gentec-EO USA, Inc.",Laser equipment supplier,gentec-eo.com,(503) 697-1870,"5825 Jean Rd, Lake Oswego, OR 97035"
6370,Elisabeth Twist,Estate planning attorney,etwistlaw.com,(503) 517-7116,"4949 Meadows Rd #600, Lake Oswego, OR 97035"
6371,Tres Chic Lake Oswego,Beauty salon,treschiclakeoswego.com,(503) 305-5194,"16524 Boones Ferry Rd, Lake Oswego, OR 97035"
6372,Handy & Co Financial Advisors,Financial planner,handycompany.com,(503) 635-6100,"4550 Kruse Way #330, Lake Oswego, OR 97035"
6373,Meadows Executive Office Suites,Executive suite rental agency,5200meadows.com,(503) 726-5999,"5200 Meadows Rd #150, Lake Oswego, OR 97035"
6374,Huron,Consultant,huronconsultinggroup.com,(503) 303-1200,"5500 SW, Meadows Rd #300, Lake Oswego, OR 97035"
6375,"Montgomery & Graham Property & Casualty, LLC",,mymgteam.com,(503) 297-1330,"412 Jefferson Pkwy, Lake Oswego, OR 97035"
6376,Salon LaVonne,Beautician,salonlavonne.com,(503) 968-7141,"14547 Westlake Dr suite b, Lake Oswego, OR 97035"
6377,Accurate Auto Repair,Auto repair shop,accurateauto.com,(503) 506-6513,"7025 SW McEwan Rd, Lake Oswego, OR 97035"
6378,KEY Home Furnishings,Furniture store,keyhomefurnishings.com,(503) 598-9948,"15151 Bangy Rd, Lake Oswego, OR 97035"
6379,Jackson Beall & Conn Inc,Attorney,jbcpdx.com,(503) 635-8668,"18099 Greenbluff Dr, Lake Oswego, OR 97034"
6380,John L. Scott Real Estate | Lake Oswego,Real estate agency,johnlscott.com,(503) 624-2900,"6000 Meadows Rd #105, Lake Oswego, OR 97035"
6381,"Kruse Woods Financial Partners, LLC",Financial consultant,krusewoodsfp.com,(503) 828-3350,"5885 Meadows Rd #800, Lake Oswego, OR 97035"
6382,MCM Construction Inc,General contractor,mcmbuild.com,(503) 699-9600,"5621 Willow Ln, Lake Oswego, OR 97035"
6383,Cascade Pools & Spas,Swimming pool contractor,cascadepoolsandspas.com,(503) 620-6174,
6384,Prefab Steel Building Solutions Co.,Steel distributor,prefabricatedsteelbuilding.net,(503) 512-8793,"CALL FOR APPOINTMENT, 16869 SW 65th Ave #197, Lake Oswego, OR 97035"
6385,2BWell,Naturopathic practitioner,2bwell.net,(503) 655-0044,"5935 Willow Ln, Lake Oswego, OR 97035"
6386,Healthy Harvest South llc,Garden center,healthyharvestsouth.com,(503) 393-2901,"3837 River Rd N, Keizer, OR 97303"
6387,One Jefferson Apartments,Apartment complex,securityproperties.com,(503) 636-5594,"1 Jefferson Pkwy, Lake Oswego, OR 97035"
6388,Hayden Properties,Property management company,hayden-properties.com,(503) 697-3188,"Upper Lot Above Fountain, 3 Monroe Pkwy #900, Lake Oswego, OR 97035"
6389,Taylor Made Labels,Custom label printer,resourcelabel.com,(503) 699-5000,"17252 Pilkington Rd, Lake Oswego, OR 97035"
6390,Contemporary Dental Health,Dentist,contemporarydentalhealth.com,(503) 636-4069,"17437 SW Ferry Rd Suite 400, Lake Oswego, OR 97035"
6391,Ideation Promotions & Apparel,Promotional products supplier,weareideation.com,(971) 224-5365,"15858 SW Upper Boones Ferry Rd, Lake Oswego, OR 97035"
6392,Accurate Striping,Paving contractor,accuratestripinginc.com,(503) 646-4499,"4155 SW Cedar Hills Blvd, Beaverton, OR 97005"
6393,Bridge City Insurance,Insurance agency,bridgecityinsurance.com,(503) 724-5860,"650 NE Holladay St #1600, Portland, OR 97232"
6394,Succession Resource Group,Consultant,successionresource.com,(503) 427-9910,"12570 SW 69th Ave, Portland, OR 97223"
6395,Natural Landscape and Irrigation,Landscaper,naturallandscapeandirrigation.com,(503) 675-0471,"5606 Carman Dr, Lake Oswego, OR 97035"
6396,Jacto Inc,Fertilizer supplier,jacto.com,(800) 522-8610,"19217 SW 119th Ave, Tualatin, OR 97062"
6397,Academy of Modern Martial Arts,Karate school,martialarts-fitness.com,(503) 697-7482,"17253 Pilkington Rd, Lake Oswego, OR 97035"
6398,Psi Conveying Groups Inc,,psiconveying.com,(503) 635-3746,"18551 Meridian Rd, Lake Oswego, OR 97035"
6399,Integense Microelectronics Ltd,Semi conductor supplier,integense.net,(503) 732-0304,"5 Centerpointe Dr suite 400, Lake Oswego, OR 97035"
6400,Vic's Auto Center,Auto repair shop,vicsautoctr.com,(503) 636-7896,"15880 Boones Ferry Rd, Lake Oswego, OR 97035"
6401,Logo Products Inc,,logo-products.com,(503) 636-0215,"5817 Jean Rd, Lake Oswego, OR 97035"
6402,Dorothy Tester Sales,Fireplace store,dorothytestersales.com,(503) 697-7081,"17390 63rd Ave, Lake Oswego, OR 97035"
6403,"Jensen Investment Management, Inc.",Investment service,jenseninvestment.com,(503) 726-4384,"5500 Meadows Rd #200, Lake Oswego, OR 97035"
6404,Larry Thompson Agency Inc American Family Insurance,Insurance agency,agent.amfam.com,(503) 924-2200,"17125 Boones Ferry Rd, Lake Oswego, OR 97035"
6405,Max Nails,Nail salon,maxnails.co,(503) 908-7979,"4859 Meadows Rd #163, Lake Oswego, OR 97035"
6406,Northwest Private Lending,Mortgage lender,nwprivatelending.com,(503) 941-5473,"5335 Meadows Rd Ste 380, Lake Oswego, OR 97035"
6407,Directors Mortgage,Mortgage lender,directorsmortgage.com,(503) 636-6000,"4550 SW Kruse Way Suite #275, Lake Oswego, OR 97035"
6408,"NorAm Financial Services, Inc.",Bookkeeping service,noramfinancialservices.com,(360) 334-6638,"9106 NE Hwy 99 suite d, Vancouver, WA 98665"
6409,Clunas Funding Group,Mortgage broker,clunasfunding.com,(503) 747-7990,"5335 Meadows Rd Suite 380, Lake Oswego, OR 97035"
6410,"Craig T Gillis, DO",Orthopedic surgeon,summitdocs.com,(503) 850-9940,"4103 Mercantile Dr, Lake Oswego, OR 97035"
6411,Beals Design Build,Contractor,bealsdesignbuild.com,(503) 636-3423,"16428 Bonaire Ave, Lake Oswego, OR 97035"
6412,Decision Consulting Inc,Business management consultant,decisionci.com,(503) 297-5227,"7 Da Vinci, Lake Oswego, OR 97035"
6413,ShopForDisplays.com,Convention center,shopfordisplays.com,(800) 342-9579,"16325 Boones Ferry Rd, Lake Oswego, OR 97035"
6414,Scs Enterprises Inc,,spycameras.com,(845) 369-1777,"6 Fortune Way, Suffern, NY 10901"
6415,Oregon Home Improvement Co,General contractor,ohico.com,(503) 635-6248,"17255 Pilkington Rd, Lake Oswego, OR 97035"
6416,X3 Development,Consultant,x3development.com,(503) 419-6338,"17435 63rd Ave, Lake Oswego, OR 97035"
6417,Local Government Law Group,Legal services,localgovtlaw.com,(541) 485-5151,"975 Oak St #700, Eugene, OR 97401"
6418,Too Sweet Cakes,Caterer,toosweetcakes.com,(503) 305-8381,"5755 Willow Ln B2, Lake Oswego, OR 97035"
6419,Guild Mortgage Company,Mortgage lender,branches.guildmortgage.com,(503) 684-3000,"5400 Meadows Rd #120, Lake Oswego, OR 97035"
6420,MacGuard Security Advisors,Security service,macguard.com,(503) 744-0720,
6421,MassMutual Oregon,Financial planner,oregon.massmutual.com,(503) 221-1211,"5885 Meadows Rd Suite 850, Lake Oswego, OR 97035"
6422,Jim Courson's Carpet Services Inc,Flooring store,jlcfloors.com,(503) 638-3006,"19539 SW Fern Rd, West Linn, OR 97068"
6423,Elpis2,Software company,elpis2.com,(503) 379-1510,"333 S State St, Lake Oswego, OR 97034"
6424,Paradigm Foodworks Inc,Food manufacturer,paradigmfoodworks.com,(503) 595-4360,"5875 Lakeview Blvd, Lake Oswego, OR 97035"
6425,The Children's Hour Academy,Private educational institution,childrens-hour.com,(503) 635-2139,"17650 SW 65th Ave, Lake Oswego, OR 97035"
6426,Computer Repair Lake Oswego by Technology Butler,Computer repair service,mytechnologybutler.com,(503) 515-6578,
6427,Mainlander Property Management,Property management company,mainlander.com,(503) 635-4477,"3927 Lake Grove Ave, Lake Oswego, OR 97035"
6428,Emmett Phair Construction,Construction company,emmettphair.com,(503) 572-8606,"6305 SW Rosewood St Suite E, Lake Oswego, OR 97035"
6429,Ross Harris Enterprises Inc.,Cleaning service,johnguyenterprises.com,(708) 442-5710,
6430,Mark Thesing,Attorney,mark-thesing-law.business.site,(503) 313-8520,"4248 Galewood St, Lake Oswego, OR 97035"
6431,Plural Additive Manufacturing,Industrial equipment supplier,pluralam.com,(877) 453-5506,"6455 Lakeview Blvd suite b, Lake Oswego, OR 97035"
6432,Emmanuel Adult Care Homes Inc.,Adult day care center,eachtucson.com,(520) 748-8131,"6414 E Calle Cappela, Tucson, AZ 85710"
6433,"B. McClurg Enterprises, Inc.",Remodeler,bmeremodeling.com,(503) 704-2206,
6434,3DWD,Warehouse,3dwd.net,(800) 692-9810,"6730 SW McEwan Rd, Lake Oswego, OR 97035"
6435,Cisco Systems,,cisco.com,(503) 598-7100,"5400 Meadows Rd, Lake Oswego, OR 97035"
6436,"Technical Resource Solutions, Inc.",Employment agency,trsusa.com,(518) 356-9970,"93 W Campbell Rd, Schenectady, NY 12306"
6437,BitAnimate,Software company,bitanimate.com,,"4800 Meadows Rd #300, Lake Oswego, OR 97035"
6438,Foster Wealth,Investment service,fosterwealth.com,(971) 266-0704,"5 Centerpointe Dr #400, Lake Oswego, OR 97035"
6439,Emerald Staffing,Employment agency,emeraldstaffing.com,(503) 212-0000,"5285 Meadows Rd Suite 190, Lake Oswego, OR 97035"
6440,Uniglobe Spectrum Travel / Uniglobe Travel Partners - Pacific NW,Travel agency,pnw.uniglobetravelpartners.com,(800) 544-2575,"15150 Bangy Rd, Lake Oswego, OR 97035"
6441,DH Wealth Management,Investment service,dhwealthmanagement.com,(503) 765-9655,"696 McVey Ave Ste 201, Lake Oswego, OR 97034"
6442,Divine Designs Bridal Boutique,Bridal shop,business.site,(503) 827-0667,"16146 Boones Ferry Rd, Lake Oswego, OR 97035"
6443,United Healthcare,Insurance agency,uhc.com,(503) 603-7355,"5 Centerpointe Dr # 600, Lake Oswego, OR 97035"
6444,"Summit Realty Group, Inc.",Real estate agency,summitrealtygroupwy.com,(307) 673-0641,"1263 Coffeen Ave, Sheridan, WY 82801"
6445,Dickinson's Electric Inc,Electrician,dickinsonselectric.com,(503) 246-3550,"4224 Lakeview Blvd, Lake Oswego, OR 97035"
6446,Westmark Labels & Marking,Custom label printer,westmarklm.com,(503) 620-0945,"6701 SW McEwan Rd, Lake Oswego, OR 97035"
6447,Macadam Capital Partners,Financial consultant,macadamcapital.com,(503) 225-0889,"Three Centerpointe Dr Suite 290, Lake Oswego, OR 97035"
6448,"B. McClurg Enterprises, Inc.",Remodeler,bmeremodeling.com,(503) 704-2206,
6449,Property Tax Analytics Inc,Tax preparation service,proptaxanalytics.com,(503) 635-4995,"1 Mt Jefferson Terrace # 101, Lake Oswego, OR 97035"
6450,Criscione Family Dental,Dentist,criscionefamilydental.com,(503) 636-7601,"16679 Boones Ferry Rd #215, Lake Oswego, OR 97035"
6451,"Interior Stone, Inc.",General contractor,interiorstoneinc.com,(503) 312-4396,
6452,Berkshire Hathaway HomeServices Northwest Real Estate Lake Oswego Office,Real estate agency,lakeoswego.bhhsnw.com,(503) 624-9660,"3 Centerpointe Dr #260, Lake Oswego, OR 97035"
6453,Northwest Insurance Inc.,Insurance broker,503insure.com,(503) 620-4444,"15455 Hallmark Dr #100, Lake Oswego, OR 97035"
6454,Oswego Grill- Lake Oswego,Grill,oswegogrill.com,(503) 352-4750,"7 Centerpointe Dr, Lake Oswego, OR 97035"
6455,Kelly's Jelly HQ,Food producer,kellysjelly.com,(503) 673-6177,"5813 Jean Rd, Lake Oswego, OR 97035"
6456,ARowe Productions,Video production service,aroweproductions.com,(503) 970-9183,"4030 Canal Woods Ct, Lake Oswego, OR 97034"
6457,Green Window Restoration LLC,Contractor,gwrpdx.com,(503) 699-4912,
6458,Springcreek Office Park,Office space rental agency,springcreekofficepark.com,(503) 675-6705,"15110 Boones Ferry Rd # 250, Lake Oswego, OR 97035"
6459,Independent Actuaries Inc,Consultant,independentactuaries.com,(503) 520-0848,"4500 Kruse Way #200, Lake Oswego, OR 97035"
6460,"Willamette Financial Advisors, LLC",Financial planner,willamettefinancialadvisors.com,(503) 406-8977,"5335 Meadows Rd #240, Lake Oswego, OR 97035"
6461,Taiwan Glass USA Sales Corporation,Glass manufacturer,taiwanglass.com,(503) 682-2255,"9450 SW Commerce Cir, Wilsonville, OR 97070"
6462,Platform Artistic Salon LO,Hair salon,platformartisticsalon.com,(503) 803-7079,"15450 Boones Ferry Rd, Lake Oswego, OR 97035"
6463,Oswego Mortgage,Mortgage lender,oswegomortgage.com,(503) 697-7214,"16552 Boones Ferry Rd Suite 3, Lake Oswego, OR 97035"
6464,Action Insurance Company,Insurance agency,actioninsurancecompany.com,(503) 659-1307,"5 Centerpointe Dr #400, Lake Oswego, OR 97035"
6465,"B. McClurg Enterprises, Inc.",Remodeler,bmeremodeling.com,(503) 704-2206,
6466,Magnacorp Insurance Group,Insurance agency,magnacorp.com,(503) 227-8279,"7128 SW Gonzaga St, Tigard, OR 97223"
6467,"Lockwood Products, Inc.",Hose supplier,loc-line.com,(503) 635-8113,"5615 Willow Ln, Lake Oswego, OR 97035"
6468,Integrated Power Systems,Engineering consultant,ipowersys.com,(800) 544-6302,"17643 Pilkington Rd, Lake Oswego, OR 97035"
6469,Tyco Integrated Security,Security system supplier,tycois.com,(877) 330-7404,"6305 SW Rosewood St a, Lake Oswego, OR 97035"
6470,Best in Class Education Center,Learning center,bestinclasseducation.com,(503) 305-8710,"16318 Bryant Rd, Lake Oswego, OR 97035"
6471,Gubanc's Restaurant,Pacific Northwest restaurant (US),gubancspub.com,(503) 635-2102,"16008 Boones Ferry Rd, Lake Oswego, OR 97035"
6472,"Northwest Staple Supply, Inc",Tool store,nwstaple.com,(503) 639-0310,"6600 SW McEwan Rd, Lake Oswego, OR 97035"
6473,Finley Bioenergy LLC,Solid waste engineer,gfriesen.com,(503) 635-1233,"4088 Orchard Dr, Lake Oswego, OR 97035"
6474,Andrew's Management Ltd,Property management company,andrewsmgt.com,(503) 635-4433,"5805 Jean Rd, Lake Oswego, OR 97035"
6475,"Oregon Affordable Bankruptcy, Inc.",Legal services,oregonaffordablebankruptcy.com,(503) 309-1134,"5 Centerpointe Dr #400, Lake Oswego, OR 97035"
6476,Mill Direct Lumber Sales Inc,Lumber store,milldirectlumber.com,(503) 924-4811,"5400 Meadows Rd # 350, Lake Oswego, OR 97035"
6477,Fiduciary Benchmarks,Market researcher,fiduciarybenchmarks.com,(866) 516-4909,"5335 Meadows Rd #210, Lake Oswego, OR 97035"
6478,"Tri-Lee Homes, Inc.",Home builder,tri-leehomes.com,(503) 702-3955,"Lake Oswego, OR 97035"
6479,Anlon Construction LLC,Home builder,anloncustomhomes.com,(503) 631-4720,
6480,The Subway Group,Business development service,subway.com,(503) 344-4815,"3, 4000 Kruse Way Pl, Lake Oswego, OR 97035"
6481,The Pearl At Kruse Way,Nursing home,avamere.com,(503) 675-6055,"4550 Carman Dr, Lake Oswego, OR 97035"
6482,Edelman Public Relations,Public relations firm,edelman.com,(503) 227-5767,"520 SW Yamhill St #800, Portland, OR 97204"
6483,"Kinsel Ameri Properties, Inc.",Real estate developer,kaproperties.com,(503) 968-8800,"5335 Meadows Rd Suite 190, Lake Oswego, OR 97035"
6484,Lightspeed Aviation,Aircraft supply store,lightspeedaviation.com,(503) 968-3113,"6135 Jean Rd, Lake Oswego, OR 97035"
6485,Providence Laboratory at Willamette Falls Medical Center - Oregon City,Medical laboratory,oregon.providence.org,(503) 215-6555,"1500 Division St First Floor Main Lobby, Oregon City, OR 97045"
6486,Oswego Wealth Advisors,Financial planner,oswegowealthadvisors.com,(503) 342-2249,"5800 Meadows Rd #210, Lake Oswego, OR 97035"
6487,Burns Brothers Inc,Real estate developer,burnsbros.com,(503) 607-0990,"4949 Meadows Rd, Lake Oswego, OR 97035"
6488,Flightcom,Electronics manufacturer,flightcom.net,(503) 684-8229,"17600 SW 65th Ave, Lake Oswego, OR 97035"
6489,Legacy Glass,Glass & mirror shop,legacyglassnw.com,(503) 305-5679,"6510 Rosewood St, Lake Oswego, OR 97035"
6490,Northwest Bujinkan,Martial arts school,northwestbujinkan.com,(503) 888-3822,"11830 Kerr Pkwy #209, Lake Oswego, OR 97035"
6491,"Northwest Tax Services, Inc.",Tax preparation,nwtaxservices.com,(503) 726-5954,"5200 SW Meadows Rd #150, Lake Oswego, OR 97035"
6492,A-Squared Bikes,Bicycle Shop,a2bikes.com,(541) 604-8943,
6493,The Greenbrier Companies,Railroad contractor,gbrx.com,(503) 684-7000,"1 Centerpointe Dr #200, Lake Oswego, OR 97035"
6494,Accent Marketing Group,Marketing consultant,accentmarketinggroup.com,(503) 783-3700,"6710 SW McEwan Rd, Lake Oswego, OR 97035"
6495,"Ameriprise Financial Services, Inc.",Financial planner,ameripriseadvisors.com,(800) 297-4575,"5000 Meadows Rd, Lake Oswego, OR 97035"
6496,The Hasson Company,Real estate agency,hasson.com,(503) 635-9801,"15400 Boones Ferry Rd, Lake Oswego, OR 97035"
6497,NEI Treatment Systems,Water treatment plant,nei-marine.com,(562) 983-9700,"5200 Meadows Rd, Lake Oswego, OR 97035"
6498,Equity Oregon Real Estate,Real estate agency,equityoregon.com,(503) 568-6300,"16325 Boones Ferry Rd, Lake Oswego, OR 97035"
6499,Cool-Amp Conducto-Lube Co,Manufacturer,cool-amp.com,(503) 624-6426,"15834 SW Upper Boones Ferry Rd, Lake Oswego, OR 97035"
